Trajectory ID,sample_group,CONDUCTIVITY,Transference Number,Li Diffusivity,TFSI Diffusivity,SMILES,Degree of Polymerization,Density,Molality,design_condition,PSMILES,pred_log10_cond,pred_cond,prediction_source,polybert_exact_available,candidate_rank_by_pred_cond,repeat_heavy_atoms,target_polymer_heavy_atoms,estimated_polymer_heavy_atoms,condition_pool_index,condition,condition_row_index,smiles,baseline_pred_log10_conductivity_existing,baseline_pred_log10_conductivity_refit,weighted_pred_log10_conductivity,baseline_pred_conductivity_s_cm,weighted_pred_conductivity_s_cm,baseline_rank,weighted_rank,rank_change_toward_top,baseline_hit_ge_1e4,weighted_hit_ge_1e4,selected_weighted_model,deployment_fit,embedding_model
911758,HIGH_middle_stratified,0.0005304690111321,0.0,,,[*]CCOCSCOCCOCCOCCOC[*],9,1.3,1.42,HIGH,[*]CCOCSCOCCOCCOCCOC[*],-3.2753399815786657,0.0005304690111321,distilled_from_cached_polybert_ridge_predictions,False,1759,17,150,153,45267,HIGH,268,[*]CCOCSCOCCOCCOCCOC[*],-3.2753399815786657,-3.3129530777661267,-3.210619895844083,0.0004864597611500312,0.0006157155248289037,1930,1888,42,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
911692,HIGH_middle_stratified,0.0005592362229183,0.0,,,[*]OCCOCCOCCOCCOCNOC([*])COC,8,1.3,1.42,HIGH,[*]OCCOCCOCCOCCOCNOC([*])COC,-3.252404706175008,0.0005592362229183,distilled_from_cached_polybert_ridge_predictions,False,1693,20,150,160,46449,HIGH,1450,[*]OCCOCCOCCOCCOCNOC([*])COC,-3.252404706175008,-3.214342062559502,-3.223772145004612,0.0006104610192201815,0.0005973486066253938,1602,1923,-321,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
911337,HIGH_middle_stratified,0.000738033346563,0.0,,,[*]OCCOCCOCCNOCCOCCOCCOC([*])C,7,1.3,1.42,HIGH,[*]OCCOCCOCCNOCCOCCOCCOC([*])C,-3.1319240150046728,0.000738033346563,distilled_from_cached_polybert_ridge_predictions,False,1338,22,150,154,46549,HIGH,1550,[*]OCCOCCOCCNOCCOCCOCCOC([*])C,-3.1319240150046728,-3.0551286804907334,-3.002502519922535,0.0008807878588539821,0.0009942543049386088,802,836,-34,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
911233,HIGH_middle_stratified,0.0007877206860691,0.0,,,[*]COCCOCOCNCOCCOCOC[*],9,1.3,1.42,HIGH,[*]COCCOCOCNCOCCOCOC[*],-3.1036277495189486,0.0007877206860691,distilled_from_cached_polybert_ridge_predictions,False,1234,17,150,153,46664,HIGH,1665,[*]COCCOCOCNCOCCOCOC[*],-3.1036277495189486,-3.261788641542614,-3.2342057256577528,0.0005472822443989025,0.0005831687912919759,1796,1951,-155,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
911008,HIGH_middle_stratified,0.000877416399842,0.0,,,[*]CCNCCOCCOCCOCCOCCNC[*],8,1.3,1.42,HIGH,[*]CCNCCOCCOCCOCCOCCNC[*],-3.056794252431234,0.000877416399842,distilled_from_cached_polybert_ridge_predictions,False,1009,19,150,152,45411,HIGH,412,[*]CCNCCOCCOCCOCCOCCNC[*],-3.056794252431234,-3.0028521630658376,-2.9617024774611975,0.000993454169741781,0.0010921883067078508,573,631,-58,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
910831,HIGH_middle_stratified,0.0009445258808235,0.0,,,[*]COCCOCCOC([*])OCCOCOCCOCC,8,1.3,1.42,HIGH,[*]COCCOCCOC([*])OCCOCOCCOCC,-3.0247861375358536,0.0009445258808235,distilled_from_cached_polybert_ridge_predictions,False,832,20,150,160,46941,HIGH,1942,[*]COCCOCCOC([*])OCCOCOCCOCC,-3.0247861375358536,-3.084745860735218,-3.1283219916060676,0.0008227239484753789,0.0007441800245217774,961,1561,-600,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
910608,HIGH_middle_stratified,0.0010362399915939,0.0,,,[*]CCOCCOCCOCCOCOCCOCOCC[*],8,1.3,1.42,HIGH,[*]CCOCCOCCOCCOCOCCOCOCC[*],-2.984539651005249,0.0010362399915939,distilled_from_cached_polybert_ridge_predictions,False,609,21,150,168,45547,HIGH,548,[*]CCOCCOCCOCCOCOCCOCOCC[*],-2.984539651005249,-2.94390617651711,-3.0093261688036352,0.0011378730814504087,0.0009787546338197754,353,880,-527,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
910341,HIGH_middle_stratified,0.0011659443678459,0.0,,,[*]CNCCOCOCCOCOCCOCCOCCOC[*],7,1.3,1.42,HIGH,[*]CNCCOCOCCOCOCCOCCOCCOC[*],-2.93332217111551,0.0011659443678459,distilled_from_cached_polybert_ridge_predictions,False,342,22,150,154,46092,HIGH,1093,[*]CNCCOCOCCOCOCCOCCOCCOC[*],-2.93332217111551,-3.130347452076631,-2.979359208629076,0.0007407174021372532,0.0010486747021585484,1212,719,493,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
910195,HIGH_middle_stratified,0.0013019741919949,0.0,,,[*]CNCCOCCOCCOCOCCOCCOC[*],8,1.3,1.42,HIGH,[*]CNCCOCCOCCOCOCCOCCOC[*],-2.8853976243586468,0.0013019741919949,distilled_from_cached_polybert_ridge_predictions,False,196,20,150,160,45057,HIGH,58,[*]CNCCOCCOCCOCOCCOCCOC[*],-2.8853976243586468,-2.9691858071705766,-2.9282047460416627,0.0010735300184049577,0.0011797643103219578,438,454,-16,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
910009,HIGH_top,0.0016744039212857,0.0,,,[*]COCCOCCOCOCCOCNOCCOCCOC[*],7,1.3,1.42,HIGH,[*]COCCOCCOCOCCOCNOCCOCCOC[*],-2.7761397675941466,0.0016744039212857,distilled_from_cached_polybert_ridge_predictions,False,10,23,150,161,45844,HIGH,845,[*]COCCOCCOCOCCOCNOCCOCCOC[*],-2.7761397675941466,-3.038699479259079,-2.9344893295863685,0.0009147460034972954,0.001162815120479608,715,488,227,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
910008,HIGH_top,0.0016768175362216,0.0,,,[*]CNOCCOCCOCCONCCOCOC[*],8,1.3,1.42,HIGH,[*]CNOCCOCCOCCONCCOCOC[*],-2.7755141928043945,0.0016768175362216,distilled_from_cached_polybert_ridge_predictions,False,9,19,150,152,46313,HIGH,1314,[*]CNOCCOCCOCCONCCOCOC[*],-2.7755141928043945,-2.81519817576842,-2.770169646021949,0.0015303889604838619,0.001697580406600309,47,14,33,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
910007,HIGH_top,0.001696521942571,0.0,,,[*]CNCCOCOCCONCOCCOCCOCCOC[*],7,1.3,1.42,HIGH,[*]CNCCOCOCCONCOCCOCCOCCOC[*],-2.7704405188801102,0.001696521942571,distilled_from_cached_polybert_ridge_predictions,False,8,23,150,161,45280,HIGH,281,[*]CNCCOCOCCONCOCCOCCOCCOC[*],-2.7704405188801102,-3.1801545020007906,-2.959031389156737,0.0006604584454721693,0.001098926410332302,1470,613,857,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
910006,HIGH_top,0.0017002400271025,0.0,,,[*]COCCOCCOCNOCCOCOCCOCCOC[*],7,1.3,1.42,HIGH,[*]COCCOCCOCNOCCOCOCCOCCOC[*],-2.7694897638642475,0.0017002400271025,distilled_from_cached_polybert_ridge_predictions,False,7,23,150,161,46064,HIGH,1065,[*]COCCOCCOCNOCCOCOCCOCCOC[*],-2.7694897638642475,-3.0498891985509733,-2.9198267617459086,0.0008914783517847413,0.0012027441085402095,767,421,346,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
910005,HIGH_top,0.0017123527000213,0.0,,,[*]CNOCCOCCOCCOCCOCCONCOC[*],7,1.3,1.42,HIGH,[*]CNOCCOCCOCCOCCOCCONCOC[*],-2.76640677710228,0.0017123527000213,distilled_from_cached_polybert_ridge_predictions,False,6,22,150,154,45252,HIGH,253,[*]CNOCCOCCOCCOCCOCCONCOC[*],-2.76640677710228,-2.943447750779244,-2.83915205301576,0.0011390748137605346,0.001448264705561728,350,95,255,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
910004,HIGH_top,0.00173704537153,0.0,,,[*]CNOCCOCCOCCOCCNOCOC[*],8,1.3,1.42,HIGH,[*]CNOCCOCCOCCOCCNOCOC[*],-2.7601888376566586,0.00173704537153,distilled_from_cached_polybert_ridge_predictions,False,5,19,150,152,45432,HIGH,433,[*]CNOCCOCCOCCOCCNOCOC[*],-2.7601888376566586,-2.9251826723266627,-2.9063217040562463,0.001188002426442373,0.0012407328930189327,299,356,-57,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
910003,HIGH_top,0.0017391706145845,0.0,,,[*]CNOCCOCCOCCSCCOCCOCOC[*],8,1.3,1.42,HIGH,[*]CNOCCOCCOCCSCCOCCOCOC[*],-2.759657811132426,0.0017391706145845,distilled_from_cached_polybert_ridge_predictions,False,4,21,150,168,45659,HIGH,660,[*]CNOCCOCCOCCSCCOCCOCOC[*],-2.759657811132426,-2.9029430494804993,-2.866437622631807,0.0012504229917069687,0.001360073495522053,220,189,31,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
910002,HIGH_top,0.0017493615498799,0.0,,,[*]COCCOCNOCCOCCOCCOCOCCOC[*],7,1.3,1.42,HIGH,[*]COCCOCNOCCOCCOCCOCOCCOC[*],-2.7571204232882263,0.0017493615498799,distilled_from_cached_polybert_ridge_predictions,False,3,23,150,161,46858,HIGH,1859,[*]COCCOCNOCCOCCOCCOCOCCOC[*],-2.7571204232882263,-2.9605540225278206,-2.904130016695527,0.0010950803282453838,0.0012470101353137249,405,349,56,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
910001,HIGH_top,0.0018247638688964,0.0,,,[*]COCCOCNOCCOCCOCCSCCOC[*],8,1.3,1.42,HIGH,[*]COCCOCNOCCOCCOCCSCCOC[*],-2.7387933268624165,0.0018247638688964,distilled_from_cached_polybert_ridge_predictions,False,2,21,150,168,46716,HIGH,1717,[*]COCCOCNOCCOCCOCCSCCOC[*],-2.7387933268624165,-2.845523663161652,-2.8655243138402904,0.0014271720665165381,0.0013629367004883758,88,183,-95,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
910000,HIGH_top,0.0018498456568853,0.0,,,[*]CNOCCOCCOCOCCOCCONCOC[*],8,1.3,1.42,HIGH,[*]CNOCCOCCOCOCCOCCONCOC[*],-2.7328645057371466,0.0018498456568853,distilled_from_cached_polybert_ridge_predictions,False,1,21,150,168,46578,HIGH,1579,[*]CNOCCOCCOCOCCOCCONCOC[*],-2.7328645057371466,-2.924203522308218,-2.8371757797898387,0.0011906838901279714,0.0014548701057422355,294,89,205,True,True,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
964998,LOW_bottom,9.419227756705732e-06,0.0,,,[*]COC(=O)OC(C)(CC)CC(C)C([*])CCC,10,1.3,1.42,LOW,[*]COC(=O)OC(C)(CC)CC(C)C([*])CCC,-5.02598470174526,9.419227756705732e-06,distilled_from_cached_polybert_ridge_predictions,False,44999,16,150,160,44490,LOW,44490,[*]COC(=O)OC(C)(CC)CC(C)C([*])CCC,-5.02598470174526,-5.305356073012194,-4.9292115062829485,4.950441434151889e-06,1.1770326058353825e-05,47115,46877,238,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
964997,LOW_bottom,9.83798653101796e-06,0.0,,,[*]OC(=O)OC(C)(CC)C(C)C([*])(C)CCC,10,1.3,1.42,LOW,[*]OC(=O)OC(C)(CC)C(C)C([*])(C)CCC,-5.007093776359792,9.83798653101796e-06,distilled_from_cached_polybert_ridge_predictions,False,44998,15,150,150,8194,LOW,8194,[*]OC(=O)OC(C)(CC)C(C)C([*])(C)CCC,-5.007093776359792,-5.297921684398858,-5.0216286428767525,5.035914124017169e-06,9.514179857345845e-06,47112,47061,51,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
964996,LOW_bottom,1.0124139599003984e-05,0.0,,,[*]CNC(=O)OC(C)(C)CC(C)C([*])(CC)CC,10,1.3,1.42,LOW,[*]CNC(=O)OC(C)(C)CC(C)C([*])(CC)CC,-4.994641875104151,1.0124139599003984e-05,distilled_from_cached_polybert_ridge_predictions,False,44997,16,150,160,15911,LOW,15911,[*]CNC(=O)OC(C)(C)CC(C)C([*])(CC)CC,-4.994641875104151,-5.052535099112723,-4.964558767034292,8.86063610262142e-06,1.0850287178472893e-05,46694,46986,-292,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
964995,LOW_bottom,1.022292090779703e-05,0.0,,,[*]NC(=O)OCCC(C)(CC)C([*])C(C)CC,10,1.3,1.42,LOW,[*]NC(=O)OCCC(C)(CC)C([*])C(C)CC,-4.990424999221127,1.022292090779703e-05,distilled_from_cached_polybert_ridge_predictions,False,44996,15,150,150,44181,LOW,44181,[*]NC(=O)OCCC(C)(CC)C([*])C(C)CC,-4.990424999221127,-4.963819552371857,-4.9043095764405145,1.0868771229298028e-05,1.2464946635565547e-05,46048,46761,-713,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
964994,LOW_bottom,1.0433179196008907e-05,0.0,,,[*]OC(=O)OC(CC)C(C)C([*])(C)CCC,11,1.3,1.42,LOW,[*]OC(=O)OC(CC)C(C)C([*])(C)CCC,-4.981583333289885,1.0433179196008907e-05,distilled_from_cached_polybert_ridge_predictions,False,44995,14,150,154,26468,LOW,26468,[*]OC(=O)OC(CC)C(C)C([*])(C)CCC,-4.981583333289885,-5.2040081602515675,-4.97783256261662,6.2516094609519435e-06,1.0523675241578283e-05,47052,47013,39,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
964993,LOW_bottom,1.0596917723192553e-05,0.0,,,[*]OC(=O)OCC(CC)C(C)C([*])(C)CCC,10,1.3,1.42,LOW,[*]OC(=O)OCC(CC)C(C)C([*])(C)CCC,-4.974820437609647,1.0596917723192553e-05,distilled_from_cached_polybert_ridge_predictions,False,44994,15,150,150,23631,LOW,23631,[*]OC(=O)OCC(CC)C(C)C([*])(C)CCC,-4.974820437609647,-5.2350515204450785,-4.953390099004993,5.820341668404353e-06,1.113294083343357e-05,47087,46954,133,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
964992,LOW_bottom,1.0600724145642312e-05,0.0,,,[*]OC(=O)OC(CC)C([*])(C)CCCC(C)CC,10,1.3,1.42,LOW,[*]OC(=O)OC(CC)C([*])(C)CCCC(C)CC,-4.974664466648941,1.0600724145642312e-05,distilled_from_cached_polybert_ridge_predictions,False,44993,16,150,160,30310,LOW,30310,[*]OC(=O)OC(CC)C([*])(C)CCCC(C)CC,-4.974664466648941,-5.050904181132648,-4.882162385286483,8.893973249186776e-06,1.3117093513975726e-05,46687,46611,76,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
964991,LOW_bottom,1.0842167482339828e-05,0.0,,,[*]CNC(=O)OCC(C)(CC)C(=O)N([*])CCCC,9,1.3,1.42,LOW,[*]CNC(=O)OCC(C)(CC)C(=O)N([*])CCCC,-4.964883888321408,1.0842167482339828e-05,distilled_from_cached_polybert_ridge_predictions,False,44992,17,150,153,13423,LOW,13423,[*]CNC(=O)OCC(C)(CC)C(=O)N([*])CCCC,-4.964883888321408,-4.792678861119602,-4.588552108082538,1.611837066894553e-05,2.578979511406124e-05,41923,35106,6817,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
964990,LOW_bottom,1.090894043763142e-05,0.0,,,[*]CCOC(=O)OC(C)(CC)C(=O)C([*])CCC,10,1.3,1.42,LOW,[*]CCOC(=O)OC(C)(CC)C(=O)C([*])CCC,-4.962217429469996,1.090894043763142e-05,distilled_from_cached_polybert_ridge_predictions,False,44991,16,150,160,16987,LOW,16987,[*]CCOC(=O)OC(C)(CC)C(=O)C([*])CCC,-4.962217429469996,-4.868567499609052,-4.724519867314696,1.3534197209670065e-05,1.8857327024445764e-05,44445,43587,858,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
964989,LOW_bottom,1.1127709756031258e-05,0.0,,,[*]COC(=O)OC(C)(CC)C([*])C=C(C)CCC,10,1.3,1.42,LOW,[*]COC(=O)OC(C)(CC)C([*])C=C(C)CCC,-4.953594210567943,1.1127709756031258e-05,distilled_from_cached_polybert_ridge_predictions,False,44990,16,150,160,9234,LOW,9234,[*]COC(=O)OC(C)(CC)C([*])C=C(C)CCC,-4.953594210567943,-5.021880715553392,-4.877358866732512,9.50865925089505e-06,1.326298056615739e-05,46543,46570,-27,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
961779,LOW_middle_stratified,1.923539053206024e-05,0.0,,,[*]COC(=O)OCC(C(=O)OC([*])C)C(C)(C)C,10,1.3,1.42,LOW,[*]COC(=O)OCC(C(=O)OC([*])C)C(C)(C)C,-4.715898991878766,1.923539053206024e-05,distilled_from_cached_polybert_ridge_predictions,False,41780,16,150,160,37733,LOW,37733,[*]COC(=O)OCC(C(=O)OC([*])C)C(C)(C)C,-4.715898991878766,-4.8478968754859055,-4.734100855353886,1.4193945211197975e-05,1.8445870046220877e-05,43925,43950,-25,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
956920,LOW_middle_stratified,2.223032488604936e-05,0.0,,,[*]OC(=O)OCCC(=O)C(=O)C([*])C(C)C,11,1.3,1.42,LOW,[*]OC(=O)OCCC(=O)C(=O)C([*])C(C)C,-4.653054190239046,2.223032488604936e-05,distilled_from_cached_polybert_ridge_predictions,False,36921,14,150,154,39097,LOW,39097,[*]OC(=O)OCCC(=O)C(=O)C([*])C(C)C,-4.653054190239046,-4.86443679740908,-4.621782248948006,1.366353905809414e-05,2.3890088085802785e-05,44353,37865,6488,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
952800,LOW_middle_stratified,2.423614628573802e-05,0.0,,,[*]COC(=O)OCC([*])(C)C(=O)C(=O)C(C)C#C,10,1.3,1.42,LOW,[*]COC(=O)OCC([*])(C)C(=O)C(=O)C(C)C#C,-4.615536434831348,2.423614628573802e-05,distilled_from_cached_polybert_ridge_predictions,False,32801,16,150,160,17842,LOW,17842,[*]COC(=O)OCC([*])(C)C(=O)C(=O)C(C)C#C,-4.615536434831348,-4.654042737673654,-4.62546921065236,2.2179781441962956e-05,2.3688130630534816e-05,32953,38157,-5204,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
949935,LOW_middle_stratified,2.5505259204308463e-05,0.0,,,[*]COC(=O)OCC(C)(O)NC([*])C(C)CC#C,10,1.3,1.42,LOW,[*]COC(=O)OCC(C)(O)NC([*])C(C)CC#C,-4.593370258471597,2.5505259204308463e-05,distilled_from_cached_polybert_ridge_predictions,False,29936,16,150,160,12738,LOW,12738,[*]COC(=O)OCC(C)(O)NC([*])C(C)CC#C,-4.593370258471597,-4.743184031418654,-4.5536450740776,1.806408501814465e-05,2.7948269725136016e-05,39453,31891,7562,False,False,smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,full_6270_row_refit,xushijie/polyBERT
